id,candy,chocolate,fruity,caramel,peanutyalmondy,nougat,crispedricewafer,hard,bar,pluribus,sugarpercent,pricepercent,winpercent
75,Tootsie Pop,1,1,0,0,0,0,1,0,0,0.60399997,0.32499999,48.982651
76,Tootsie Roll Juniors,1,0,0,0,0,0,0,0,0,0.31299999,0.51099998,43.068897
77,Tootsie Roll Midgies,1,0,0,0,0,0,0,0,1,0.17399999,0.011,45.736748
78,Tootsie Roll Snack Bars,1,0,0,0,0,0,0,1,0,0.465,0.32499999,49.653503
79,Trolli Sour Bites,0,1,0,0,0,0,0,0,1,0.31299999,0.255,47.173229
80,Twix,1,0,1,0,0,1,0,1,0,0.546,0.90600002,81.642914
81,Twizzlers,0,1,0,0,0,0,0,0,0,0.22,0.116,45.466282
82,Warheads,0,1,0,0,0,0,1,0,0,0.093000002,0.116,39.011898
83,WelchÕs Fruit Snacks,0,1,0,0,0,0,0,0,1,0.31299999,0.31299999,44.375519
84,WertherÕs Original Caramel,0,0,1,0,0,0,1,0,0,0.186,0.26699999,41.904308
85,Whoppers,1,0,0,0,0,1,0,0,1,0.87199998,0.84799999,49.524113
